ZONE I=100
0.267424 0.981086
0.267677 0.980991
0.267929 0.980896
0.268182 0.9808
0.268434 0.980704
0.268687 0.980607
0.268939 0.98051
0.269192 0.980412
0.269444 0.980314
0.269697 0.980215
0.269949 0.980116
0.270202 0.980017
0.270455 0.979916
0.270707 0.979816
0.27096 0.979715
0.271212 0.979613
0.271465 0.979511
0.271717 0.979408
0.27197 0.979305
0.272222 0.979201
0.272475 0.979097
0.272727 0.978992
0.27298 0.978887
0.273232 0.978781
0.273485 0.978675
0.273737 0.978568
0.27399 0.978461
0.274242 0.978353
0.274495 0.978245
0.274747 0.978136
0.275 0.978026
ZONE I=100
0.275 0.978026
0.275253 0.977916
0.275505 0.977806
0.275758 0.977694
0.27601 0.977583
0.276263 0.97747
0.276515 0.977358
0.276768 0.977244
0.27702 0.97713
0.277273 0.977016
0.277525 0.976901
0.277778 0.976785
0.27803 0.976669
0.278283 0.976552
0.278535 0.976435
0.278788 0.976317
0.27904 0.976199
0.279293 0.97608
0.279545 0.97596
0.279798 0.97584
0.280051 0.975719
0.280303 0.975597
0.280556 0.975475
0.280808 0.975353
0.281061 0.97523
0.281313 0.975106
0.281566 0.974981
0.281818 0.974856
0.282071 0.97473
0.282323 0.974604
0.282576 0.974477
0.282828 0.97435
0.283081 0.974221
0.283333 0.974093
0.283586 0.973963
0.283838 0.973833
0.284091 0.973702
0.284343 0.973571
0.284596 0.973439
0.284848 0.973306
0.285101 0.973173
0.285354 0.973039
0.285606 0.972904
0.285859 0.972769
0.286111 0.972633
0.286364 0.972496
0.286616 0.972359
0.286869 0.972221
0.287121 0.972082
0.287374 0.971943
0.287626 0.971803
0.287879 0.971662
0.288131 0.97152
0.288384 0.971378
0.288636 0.971235
0.288889 0.971092
0.289141 0.970948
0.289394 0.970803
0.289646 0.970657
0.289899 0.970511
0.290152 0.970364
0.290404 0.970216
0.290657 0.970067
0.290909 0.969918
0.291162 0.969768
0.291414 0.969617
0.291667 0.969466
0.291919 0.969313
0.292172 0.96916
0.292424 0.969007
0.292677 0.968852
0.292929 0.968697
0.293182 0.968541
0.293434 0.968384
0.293687 0.968227
0.293939 0.968068
0.294192 0.967909
0.294444 0.967749
0.294697 0.967589
0.294949 0.967427
0.295202 0.967265
0.295455 0.967102
0.295707 0.966938
0.29596 0.966774
0.296212 0.966608
0.296465 0.966442
0.296717 0.966275
0.29697 0.966107
0.297222 0.965938
0.297475 0.965769
0.297727 0.965599
